matchday,date,date_display,time_et,day_of_week,month,date_sort,home_team,away_team,stadium,venue_type,game_label
14,24/07/2026 20:00,"July 24, 2026",8:00 PM,Friday,July,2026-07-24,Houston Dash,Bay FC,Shell Energy Stadium,home_venue,"July 24, 2026  8:00 PM  —  Houston Dash vs Bay FC"
14,24/07/2026 22:00,"July 24, 2026",10:00 PM,Friday,July,2026-07-24,Portland Thorns FC,NJ/NY Gotham FC,Providence Park,home_venue,"July 24, 2026  10:00 PM  —  Portland Thorns FC vs NJ/NY Gotham FC"
14,25/07/2026 17:00,"July 25, 2026",5:00 PM,Saturday,July,2026-07-25,Boston Legacy FC,Kansas City Current,Centreville Bank Stadium,fifa_displaced,"July 25, 2026  5:00 PM  —  Boston Legacy FC vs Kansas City Current"
14,25/07/2026 19:45,"July 25, 2026",7:45 PM,Saturday,July,2026-07-25,North Carolina Courage,Utah Royals FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"July 25, 2026  7:45 PM  —  North Carolina Courage vs Utah Royals FC"
14,26/07/2026 17:00,"July 26, 2026",5:00 PM,Sunday,July,2026-07-26,San Diego Wave FC,Seattle Reign FC,Snapdragon Stadium,home_venue,"July 26, 2026  5:00 PM  —  San Diego Wave FC vs Seattle Reign FC"
14,26/07/2026 19:00,"July 26, 2026",7:00 PM,Sunday,July,2026-07-26,Washington Spirit,Denver Summit FC,Audi Field,home_venue,"July 26, 2026  7:00 PM  —  Washington Spirit vs Denver Summit FC"
14,26/07/2026 21:00,"July 26, 2026",9:00 PM,Sunday,July,2026-07-26,Angel City FC,Racing Louisville FC,BMO Stadium,home_venue,"July 26, 2026  9:00 PM  —  Angel City FC vs Racing Louisville FC"
15,29/07/2026 20:00,"July 29, 2026",8:00 PM,Wednesday,July,2026-07-29,Kansas City Current,Racing Louisville FC,CPKC Stadium,home_venue,"July 29, 2026  8:00 PM  —  Kansas City Current vs Racing Louisville FC"
15,29/07/2026 21:00,"July 29, 2026",9:00 PM,Wednesday,July,2026-07-29,Utah Royals FC,Washington Spirit,America First Field,home_venue,"July 29, 2026  9:00 PM  —  Utah Royals FC vs Washington Spirit"
15,29/07/2026 22:00,"July 29, 2026",10:00 PM,Wednesday,July,2026-07-29,Bay FC,NJ/NY Gotham FC,PayPal Park,home_venue,"July 29, 2026  10:00 PM  —  Bay FC vs NJ/NY Gotham FC"
15,31/07/2026 20:00,"July 31, 2026",8:00 PM,Friday,July,2026-07-31,North Carolina Courage,Orlando Pride,First Horizon Stadium at WakeMed Soccer Park,home_venue,"July 31, 2026  8:00 PM  —  North Carolina Courage vs Orlando Pride"
15,01/08/2026 16:00,"August 01, 2026",4:00 PM,Saturday,August,2026-08-01,Racing Louisville FC,Chicago Stars FC,Lynn Family Stadium,home_venue,"August 01, 2026  4:00 PM  —  Racing Louisville FC vs Chicago Stars FC"
15,01/08/2026 18:30,"August 01, 2026",6:30 PM,Saturday,August,2026-08-01,Kansas City Current,Angel City FC,CPKC Stadium,home_venue,"August 01, 2026  6:30 PM  —  Kansas City Current vs Angel City FC"
15,01/08/2026 20:00,"August 01, 2026",8:00 PM,Saturday,August,2026-08-01,Houston Dash,NJ/NY Gotham FC,Shell Energy Stadium,home_venue,"August 01, 2026  8:00 PM  —  Houston Dash vs NJ/NY Gotham FC"
15,01/08/2026 20:45,"August 01, 2026",8:45 PM,Saturday,August,2026-08-01,Bay FC,Seattle Reign FC,PayPal Park,home_venue,"August 01, 2026  8:45 PM  —  Bay FC vs Seattle Reign FC"
15,02/08/2026 16:00,"August 02, 2026",4:00 PM,Sunday,August,2026-08-02,Washington Spirit,San Diego Wave FC,Audi Field,home_venue,"August 02, 2026  4:00 PM  —  Washington Spirit vs San Diego Wave FC"
15,02/08/2026 19:00,"August 02, 2026",7:00 PM,Sunday,August,2026-08-02,Utah Royals FC,Portland Thorns FC,America First Field,home_venue,"August 02, 2026  7:00 PM  —  Utah Royals FC vs Portland Thorns FC"
15,02/08/2026 21:00,"August 02, 2026",9:00 PM,Sunday,August,2026-08-02,Denver Summit FC,Boston Legacy FC,Centennial Stadium,home_venue,"August 02, 2026  9:00 PM  —  Denver Summit FC vs Boston Legacy FC"
16,05/08/2026 22:00,"August 05, 2026",10:00 PM,Wednesday,August,2026-08-05,Denver Summit FC,North Carolina Courage,Centennial Stadium,home_venue,"August 05, 2026  10:00 PM  —  Denver Summit FC vs North Carolina Courage"
16,07/08/2026 19:00,"August 07, 2026",7:00 PM,Friday,August,2026-08-07,Orlando Pride,Racing Louisville FC,INTER&Co Stadium,home_venue,"August 07, 2026  7:00 PM  —  Orlando Pride vs Racing Louisville FC"
16,07/08/2026 20:00,"August 07, 2026",8:00 PM,Friday,August,2026-08-07,NJ/NY Gotham FC,San Diego Wave FC,Red Bull Arena,home_venue,"August 07, 2026  8:00 PM  —  NJ/NY Gotham FC vs San Diego Wave FC"
16,08/08/2026 16:00,"August 08, 2026",4:00 PM,Saturday,August,2026-08-08,Denver Summit FC,Utah Royals FC,Centennial Stadium,home_venue,"August 08, 2026  4:00 PM  —  Denver Summit FC vs Utah Royals FC"
16,08/08/2026 18:30,"August 08, 2026",6:30 PM,Saturday,August,2026-08-08,Washington Spirit,North Carolina Courage,Audi Field,home_venue,"August 08, 2026  6:30 PM  —  Washington Spirit vs North Carolina Courage"
16,08/08/2026 20:45,"August 08, 2026",8:45 PM,Saturday,August,2026-08-08,Houston Dash,Kansas City Current,Shell Energy Stadium,home_venue,"August 08, 2026  8:45 PM  —  Houston Dash vs Kansas City Current"
16,09/08/2026 16:00,"August 09, 2026",4:00 PM,Sunday,August,2026-08-09,Boston Legacy FC,Portland Thorns FC,Centreville Bank Stadium,fifa_displaced,"August 09, 2026  4:00 PM  —  Boston Legacy FC vs Portland Thorns FC"
16,09/08/2026 19:00,"August 09, 2026",7:00 PM,Sunday,August,2026-08-09,Chicago Stars FC,Bay FC,Northwestern Martin Stadium (temporary),home_venue,"August 09, 2026  7:00 PM  —  Chicago Stars FC vs Bay FC"
16,09/08/2026 21:00,"August 09, 2026",9:00 PM,Sunday,August,2026-08-09,Seattle Reign FC,Angel City FC,Lumen Field,home_venue,"August 09, 2026  9:00 PM  —  Seattle Reign FC vs Angel City FC"
17,14/08/2026 20:00,"August 14, 2026",8:00 PM,Friday,August,2026-08-14,NJ/NY Gotham FC,Kansas City Current,Red Bull Arena,home_venue,"August 14, 2026  8:00 PM  —  NJ/NY Gotham FC vs Kansas City Current"
17,14/08/2026 22:00,"August 14, 2026",10:00 PM,Friday,August,2026-08-14,Utah Royals FC,Bay FC,America First Field,home_venue,"August 14, 2026  10:00 PM  —  Utah Royals FC vs Bay FC"
17,14/08/2026 22:00,"August 14, 2026",10:00 PM,Friday,August,2026-08-14,Seattle Reign FC,Chicago Stars FC,Lumen Field,home_venue,"August 14, 2026  10:00 PM  —  Seattle Reign FC vs Chicago Stars FC"
17,14/08/2026 22:00,"August 14, 2026",10:00 PM,Friday,August,2026-08-14,San Diego Wave FC,Denver Summit FC,Snapdragon Stadium,home_venue,"August 14, 2026  10:00 PM  —  San Diego Wave FC vs Denver Summit FC"
17,15/08/2026 18:30,"August 15, 2026",6:30 PM,Saturday,August,2026-08-15,Racing Louisville FC,Boston Legacy FC,Lynn Family Stadium,home_venue,"August 15, 2026  6:30 PM  —  Racing Louisville FC vs Boston Legacy FC"
17,15/08/2026 20:45,"August 15, 2026",8:45 PM,Saturday,August,2026-08-15,Portland Thorns FC,Orlando Pride,Providence Park,home_venue,"August 15, 2026  8:45 PM  —  Portland Thorns FC vs Orlando Pride"
17,16/08/2026 19:00,"August 16, 2026",7:00 PM,Sunday,August,2026-08-16,North Carolina Courage,Houston Dash,First Horizon Stadium at WakeMed Soccer Park,home_venue,"August 16, 2026  7:00 PM  —  North Carolina Courage vs Houston Dash"
17,16/08/2026 21:00,"August 16, 2026",9:00 PM,Sunday,August,2026-08-16,Angel City FC,Washington Spirit,BMO Stadium,home_venue,"August 16, 2026  9:00 PM  —  Angel City FC vs Washington Spirit"
18,19/08/2026 18:30,"August 19, 2026",6:30 PM,Wednesday,August,2026-08-19,Racing Louisville FC,Seattle Reign FC,Lynn Family Stadium,home_venue,"August 19, 2026  6:30 PM  —  Racing Louisville FC vs Seattle Reign FC"
18,19/08/2026 20:00,"August 19, 2026",8:00 PM,Wednesday,August,2026-08-19,Houston Dash,Chicago Stars FC,Shell Energy Stadium,home_venue,"August 19, 2026  8:00 PM  —  Houston Dash vs Chicago Stars FC"
18,21/08/2026 22:00,"August 21, 2026",10:00 PM,Friday,August,2026-08-21,San Diego Wave FC,Utah Royals FC,Snapdragon Stadium,home_venue,"August 21, 2026  10:00 PM  —  San Diego Wave FC vs Utah Royals FC"
18,22/08/2026 18:30,"August 22, 2026",6:30 PM,Saturday,August,2026-08-22,Kansas City Current,Seattle Reign FC,CPKC Stadium,home_venue,"August 22, 2026  6:30 PM  —  Kansas City Current vs Seattle Reign FC"
18,22/08/2026 19:30,"August 22, 2026",7:30 PM,Saturday,August,2026-08-22,North Carolina Courage,Boston Legacy FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"August 22, 2026  7:30 PM  —  North Carolina Courage vs Boston Legacy FC"
18,22/08/2026 20:45,"August 22, 2026",8:45 PM,Saturday,August,2026-08-22,Portland Thorns FC,Denver Summit FC,Providence Park,home_venue,"August 22, 2026  8:45 PM  —  Portland Thorns FC vs Denver Summit FC"
18,23/08/2026 14:00,"August 23, 2026",2:00 PM,Sunday,August,2026-08-23,Chicago Stars FC,Racing Louisville FC,Northwestern Martin Stadium (temporary),home_venue,"August 23, 2026  2:00 PM  —  Chicago Stars FC vs Racing Louisville FC"
18,23/08/2026 16:00,"August 23, 2026",4:00 PM,Sunday,August,2026-08-23,Washington Spirit,Orlando Pride,Audi Field,home_venue,"August 23, 2026  4:00 PM  —  Washington Spirit vs Orlando Pride"
18,23/08/2026 18:00,"August 23, 2026",6:00 PM,Sunday,August,2026-08-23,Bay FC,Houston Dash,PayPal Park,home_venue,"August 23, 2026  6:00 PM  —  Bay FC vs Houston Dash"
18,23/08/2026 20:00,"August 23, 2026",8:00 PM,Sunday,August,2026-08-23,Angel City FC,NJ/NY Gotham FC,BMO Stadium,home_venue,"August 23, 2026  8:00 PM  —  Angel City FC vs NJ/NY Gotham FC"
19,26/08/2026 20:00,"August 26, 2026",8:00 PM,Wednesday,August,2026-08-26,North Carolina Courage,Angel City FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"August 26, 2026  8:00 PM  —  North Carolina Courage vs Angel City FC"
19,28/08/2026 20:00,"August 28, 2026",8:00 PM,Friday,August,2026-08-28,NJ/NY Gotham FC,Portland Thorns FC,Red Bull Arena,home_venue,"August 28, 2026  8:00 PM  —  NJ/NY Gotham FC vs Portland Thorns FC"
19,28/08/2026 22:00,"August 28, 2026",10:00 PM,Friday,August,2026-08-28,San Diego Wave FC,Racing Louisville FC,Snapdragon Stadium,home_venue,"August 28, 2026  10:00 PM  —  San Diego Wave FC vs Racing Louisville FC"
19,29/08/2026 18:30,"August 29, 2026",6:30 PM,Saturday,August,2026-08-29,Kansas City Current,North Carolina Courage,CPKC Stadium,home_venue,"August 29, 2026  6:30 PM  —  Kansas City Current vs North Carolina Courage"
19,29/08/2026 19:00,"August 29, 2026",7:00 PM,Saturday,August,2026-08-29,Orlando Pride,Utah Royals FC,INTER&Co Stadium,home_venue,"August 29, 2026  7:00 PM  —  Orlando Pride vs Utah Royals FC"
19,29/08/2026 20:45,"August 29, 2026",8:45 PM,Saturday,August,2026-08-29,Denver Summit FC,Chicago Stars FC,Centennial Stadium,home_venue,"August 29, 2026  8:45 PM  —  Denver Summit FC vs Chicago Stars FC"
19,30/08/2026 12:30,"August 30, 2026",12:30 PM,Sunday,August,2026-08-30,Washington Spirit,Bay FC,Audi Field,home_venue,"August 30, 2026  12:30 PM  —  Washington Spirit vs Bay FC"
19,30/08/2026 19:00,"August 30, 2026",7:00 PM,Sunday,August,2026-08-30,Seattle Reign FC,Houston Dash,Lumen Field,home_venue,"August 30, 2026  7:00 PM  —  Seattle Reign FC vs Houston Dash"
19,31/08/2026 20:00,"August 31, 2026",8:00 PM,Monday,August,2026-08-31,Boston Legacy FC,Angel City FC,Gillette Stadium,home_venue,"August 31, 2026  8:00 PM  —  Boston Legacy FC vs Angel City FC"
20,04/09/2026 21:30,"September 04, 2026",9:30 PM,Friday,September,2026-09-04,Utah Royals FC,Boston Legacy FC,America First Field,home_venue,"September 04, 2026  9:30 PM  —  Utah Royals FC vs Boston Legacy FC"
20,04/09/2026 22:00,"September 04, 2026",10:00 PM,Friday,September,2026-09-04,Bay FC,Kansas City Current,PayPal Park,home_venue,"September 04, 2026  10:00 PM  —  Bay FC vs Kansas City Current"
20,05/09/2026 18:30,"September 05, 2026",6:30 PM,Saturday,September,2026-09-05,Racing Louisville FC,Angel City FC,Lynn Family Stadium,home_venue,"September 05, 2026  6:30 PM  —  Racing Louisville FC vs Angel City FC"
20,06/09/2026 14:00,"September 06, 2026",2:00 PM,Sunday,September,2026-09-06,Denver Summit FC,NJ/NY Gotham FC,Centennial Stadium,home_venue,"September 06, 2026  2:00 PM  —  Denver Summit FC vs NJ/NY Gotham FC"
20,06/09/2026 16:00,"September 06, 2026",4:00 PM,Sunday,September,2026-09-06,Chicago Stars FC,North Carolina Courage,Northwestern Martin Stadium (temporary),home_venue,"September 06, 2026  4:00 PM  —  Chicago Stars FC vs North Carolina Courage"
20,06/09/2026 16:00,"September 06, 2026",4:00 PM,Sunday,September,2026-09-06,Portland Thorns FC,Washington Spirit,Providence Park,home_venue,"September 06, 2026  4:00 PM  —  Portland Thorns FC vs Washington Spirit"
20,06/09/2026 19:00,"September 06, 2026",7:00 PM,Sunday,September,2026-09-06,Orlando Pride,Houston Dash,INTER&Co Stadium,home_venue,"September 06, 2026  7:00 PM  —  Orlando Pride vs Houston Dash"
20,06/09/2026 21:00,"September 06, 2026",9:00 PM,Sunday,September,2026-09-06,Seattle Reign FC,San Diego Wave FC,Lumen Field,home_venue,"September 06, 2026  9:00 PM  —  Seattle Reign FC vs San Diego Wave FC"
21,11/09/2026 18:30,"September 11, 2026",6:30 PM,Friday,September,2026-09-11,Racing Louisville FC,NJ/NY Gotham FC,Lynn Family Stadium,home_venue,"September 11, 2026  6:30 PM  —  Racing Louisville FC vs NJ/NY Gotham FC"
21,11/09/2026 20:00,"September 11, 2026",8:00 PM,Friday,September,2026-09-11,Kansas City Current,Orlando Pride,CPKC Stadium,home_venue,"September 11, 2026  8:00 PM  —  Kansas City Current vs Orlando Pride"
21,11/09/2026 22:00,"September 11, 2026",10:00 PM,Friday,September,2026-09-11,Angel City FC,Denver Summit FC,BMO Stadium,home_venue,"September 11, 2026  10:00 PM  —  Angel City FC vs Denver Summit FC"
21,12/09/2026 18:30,"September 12, 2026",6:30 PM,Saturday,September,2026-09-12,San Diego Wave FC,North Carolina Courage,Snapdragon Stadium,home_venue,"September 12, 2026  6:30 PM  —  San Diego Wave FC vs North Carolina Courage"
21,12/09/2026 20:00,"September 12, 2026",8:00 PM,Saturday,September,2026-09-12,Seattle Reign FC,Bay FC,Lumen Field,home_venue,"September 12, 2026  8:00 PM  —  Seattle Reign FC vs Bay FC"
21,12/09/2026 20:45,"September 12, 2026",8:45 PM,Saturday,September,2026-09-12,Houston Dash,Utah Royals FC,Shell Energy Stadium,home_venue,"September 12, 2026  8:45 PM  —  Houston Dash vs Utah Royals FC"
21,13/09/2026 13:00,"September 13, 2026",1:00 PM,Sunday,September,2026-09-13,Washington Spirit,Boston Legacy FC,Audi Field,home_venue,"September 13, 2026  1:00 PM  —  Washington Spirit vs Boston Legacy FC"
21,13/09/2026 19:00,"September 13, 2026",7:00 PM,Sunday,September,2026-09-13,Portland Thorns FC,Chicago Stars FC,Providence Park,home_venue,"September 13, 2026  7:00 PM  —  Portland Thorns FC vs Chicago Stars FC"
22,16/09/2026 21:30,"September 16, 2026",9:30 PM,Wednesday,September,2026-09-16,Denver Summit FC,Bay FC,Centennial Stadium,home_venue,"September 16, 2026  9:30 PM  —  Denver Summit FC vs Bay FC"
22,16/09/2026 22:00,"September 16, 2026",10:00 PM,Wednesday,September,2026-09-16,Angel City FC,Seattle Reign FC,BMO Stadium,home_venue,"September 16, 2026  10:00 PM  —  Angel City FC vs Seattle Reign FC"
22,18/09/2026 22:00,"September 18, 2026",10:00 PM,Friday,September,2026-09-18,San Diego Wave FC,Kansas City Current,Snapdragon Stadium,home_venue,"September 18, 2026  10:00 PM  —  San Diego Wave FC vs Kansas City Current"
22,19/09/2026 16:00,"September 19, 2026",4:00 PM,Saturday,September,2026-09-19,Orlando Pride,Portland Thorns FC,INTER&Co Stadium,home_venue,"September 19, 2026  4:00 PM  —  Orlando Pride vs Portland Thorns FC"
22,19/09/2026 18:30,"September 19, 2026",6:30 PM,Saturday,September,2026-09-19,North Carolina Courage,NJ/NY Gotham FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"September 19, 2026  6:30 PM  —  North Carolina Courage vs NJ/NY Gotham FC"
22,19/09/2026 20:45,"September 19, 2026",8:45 PM,Saturday,September,2026-09-19,Denver Summit FC,Seattle Reign FC,Centennial Stadium,home_venue,"September 19, 2026  8:45 PM  —  Denver Summit FC vs Seattle Reign FC"
22,20/09/2026 14:00,"September 20, 2026",2:00 PM,Sunday,September,2026-09-20,Boston Legacy FC,Houston Dash,Centreville Bank Stadium,fifa_displaced,"September 20, 2026  2:00 PM  —  Boston Legacy FC vs Houston Dash"
22,20/09/2026 17:00,"September 20, 2026",5:00 PM,Sunday,September,2026-09-20,Chicago Stars FC,Washington Spirit,Northwestern Martin Stadium (temporary),home_venue,"September 20, 2026  5:00 PM  —  Chicago Stars FC vs Washington Spirit"
22,20/09/2026 19:00,"September 20, 2026",7:00 PM,Sunday,September,2026-09-20,Bay FC,Racing Louisville FC,PayPal Park,home_venue,"September 20, 2026  7:00 PM  —  Bay FC vs Racing Louisville FC"
22,20/09/2026 19:00,"September 20, 2026",7:00 PM,Sunday,September,2026-09-20,Utah Royals FC,Angel City FC,America First Field,home_venue,"September 20, 2026  7:00 PM  —  Utah Royals FC vs Angel City FC"
23,25/09/2026 18:30,"September 25, 2026",6:30 PM,Friday,September,2026-09-25,Racing Louisville FC,San Diego Wave FC,Lynn Family Stadium,home_venue,"September 25, 2026  6:30 PM  —  Racing Louisville FC vs San Diego Wave FC"
23,25/09/2026 20:00,"September 25, 2026",8:00 PM,Friday,September,2026-09-25,NJ/NY Gotham FC,Chicago Stars FC,Red Bull Arena,home_venue,"September 25, 2026  8:00 PM  —  NJ/NY Gotham FC vs Chicago Stars FC"
23,25/09/2026 20:30,"September 25, 2026",8:30 PM,Friday,September,2026-09-25,Seattle Reign FC,Boston Legacy FC,Lumen Field,home_venue,"September 25, 2026  8:30 PM  —  Seattle Reign FC vs Boston Legacy FC"
23,26/09/2026 12:30,"September 26, 2026",12:30 PM,Saturday,September,2026-09-26,Kansas City Current,Denver Summit FC,CPKC Stadium,home_venue,"September 26, 2026  12:30 PM  —  Kansas City Current vs Denver Summit FC"
23,26/09/2026 18:30,"September 26, 2026",6:30 PM,Saturday,September,2026-09-26,Washington Spirit,Angel City FC,Audi Field,home_venue,"September 26, 2026  6:30 PM  —  Washington Spirit vs Angel City FC"
23,26/09/2026 20:45,"September 26, 2026",8:45 PM,Saturday,September,2026-09-26,Portland Thorns FC,Houston Dash,Providence Park,home_venue,"September 26, 2026  8:45 PM  —  Portland Thorns FC vs Houston Dash"
23,27/09/2026 17:00,"September 27, 2026",5:00 PM,Sunday,September,2026-09-27,Bay FC,Orlando Pride,PayPal Park,home_venue,"September 27, 2026  5:00 PM  —  Bay FC vs Orlando Pride"
23,27/09/2026 19:00,"September 27, 2026",7:00 PM,Sunday,September,2026-09-27,Utah Royals FC,North Carolina Courage,America First Field,home_venue,"September 27, 2026  7:00 PM  —  Utah Royals FC vs North Carolina Courage"
24,02/10/2026 20:00,"October 02, 2026",8:00 PM,Friday,October,2026-10-02,Orlando Pride,San Diego Wave FC,INTER&Co Stadium,home_venue,"October 02, 2026  8:00 PM  —  Orlando Pride vs San Diego Wave FC"
24,02/10/2026 22:00,"October 02, 2026",10:00 PM,Friday,October,2026-10-02,Seattle Reign FC,North Carolina Courage,Lumen Field,home_venue,"October 02, 2026  10:00 PM  —  Seattle Reign FC vs North Carolina Courage"
24,03/10/2026 16:00,"October 03, 2026",4:00 PM,Saturday,October,2026-10-03,Racing Louisville FC,Utah Royals FC,Lynn Family Stadium,home_venue,"October 03, 2026  4:00 PM  —  Racing Louisville FC vs Utah Royals FC"
24,03/10/2026 18:30,"October 03, 2026",6:30 PM,Saturday,October,2026-10-03,Kansas City Current,Bay FC,CPKC Stadium,home_venue,"October 03, 2026  6:30 PM  —  Kansas City Current vs Bay FC"
24,03/10/2026 20:45,"October 03, 2026",8:45 PM,Saturday,October,2026-10-03,Portland Thorns FC,Boston Legacy FC,Providence Park,home_venue,"October 03, 2026  8:45 PM  —  Portland Thorns FC vs Boston Legacy FC"
24,04/10/2026 12:00,"October 04, 2026",12:00 PM,Sunday,October,2026-10-04,NJ/NY Gotham FC,Angel City FC,Red Bull Arena,home_venue,"October 04, 2026  12:00 PM  —  NJ/NY Gotham FC vs Angel City FC"
24,04/10/2026 16:00,"October 04, 2026",4:00 PM,Sunday,October,2026-10-04,Chicago Stars FC,Denver Summit FC,Northwestern Martin Stadium (temporary),home_venue,"October 04, 2026  4:00 PM  —  Chicago Stars FC vs Denver Summit FC"
24,04/10/2026 19:00,"October 04, 2026",7:00 PM,Sunday,October,2026-10-04,Houston Dash,Washington Spirit,Shell Energy Stadium,home_venue,"October 04, 2026  7:00 PM  —  Houston Dash vs Washington Spirit"
25,16/10/2026 20:00,"October 16, 2026",8:00 PM,Friday,October,2026-10-16,Boston Legacy FC,Racing Louisville FC,Gillette Stadium,home_venue,"October 16, 2026  8:00 PM  —  Boston Legacy FC vs Racing Louisville FC"
25,17/10/2026 12:30,"October 17, 2026",12:30 PM,Saturday,October,2026-10-17,Washington Spirit,NJ/NY Gotham FC,Audi Field,home_venue,"October 17, 2026  12:30 PM  —  Washington Spirit vs NJ/NY Gotham FC"
25,17/10/2026 18:30,"October 17, 2026",6:30 PM,Saturday,October,2026-10-17,Utah Royals FC,Kansas City Current,America First Field,home_venue,"October 17, 2026  6:30 PM  —  Utah Royals FC vs Kansas City Current"
25,17/10/2026 19:00,"October 17, 2026",7:00 PM,Saturday,October,2026-10-17,North Carolina Courage,San Diego Wave FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"October 17, 2026  7:00 PM  —  North Carolina Courage vs San Diego Wave FC"
25,17/10/2026 20:45,"October 17, 2026",8:45 PM,Saturday,October,2026-10-17,Denver Summit FC,Angel City FC,Centennial Stadium,home_venue,"October 17, 2026  8:45 PM  —  Denver Summit FC vs Angel City FC"
25,18/10/2026 13:00,"October 18, 2026",1:00 PM,Sunday,October,2026-10-18,Houston Dash,Orlando Pride,Shell Energy Stadium,home_venue,"October 18, 2026  1:00 PM  —  Houston Dash vs Orlando Pride"
25,18/10/2026 17:00,"October 18, 2026",5:00 PM,Sunday,October,2026-10-18,Bay FC,Portland Thorns FC,PayPal Park,home_venue,"October 18, 2026  5:00 PM  —  Bay FC vs Portland Thorns FC"
25,18/10/2026 19:00,"October 18, 2026",7:00 PM,Sunday,October,2026-10-18,Chicago Stars FC,Seattle Reign FC,Northwestern Martin Stadium (temporary),home_venue,"October 18, 2026  7:00 PM  —  Chicago Stars FC vs Seattle Reign FC"
26,23/10/2026 20:00,"October 23, 2026",8:00 PM,Friday,October,2026-10-23,Chicago Stars FC,Houston Dash,Northwestern Martin Stadium (temporary),home_venue,"October 23, 2026  8:00 PM  —  Chicago Stars FC vs Houston Dash"
26,23/10/2026 21:30,"October 23, 2026",9:30 PM,Friday,October,2026-10-23,Utah Royals FC,Seattle Reign FC,America First Field,home_venue,"October 23, 2026  9:30 PM  —  Utah Royals FC vs Seattle Reign FC"
26,23/10/2026 22:00,"October 23, 2026",10:00 PM,Friday,October,2026-10-23,Portland Thorns FC,North Carolina Courage,Providence Park,home_venue,"October 23, 2026  10:00 PM  —  Portland Thorns FC vs North Carolina Courage"
26,24/10/2026 18:30,"October 24, 2026",6:30 PM,Saturday,October,2026-10-24,Denver Summit FC,Racing Louisville FC,Centennial Stadium,home_venue,"October 24, 2026  6:30 PM  —  Denver Summit FC vs Racing Louisville FC"
26,24/10/2026 20:45,"October 24, 2026",8:45 PM,Saturday,October,2026-10-24,Angel City FC,Bay FC,BMO Stadium,home_venue,"October 24, 2026  8:45 PM  —  Angel City FC vs Bay FC"
26,25/10/2026 15:00,"October 25, 2026",3:00 PM,Sunday,October,2026-10-25,Orlando Pride,NJ/NY Gotham FC,INTER&Co Stadium,home_venue,"October 25, 2026  3:00 PM  —  Orlando Pride vs NJ/NY Gotham FC"
26,25/10/2026 17:00,"October 25, 2026",5:00 PM,Sunday,October,2026-10-25,Kansas City Current,Washington Spirit,CPKC Stadium,home_venue,"October 25, 2026  5:00 PM  —  Kansas City Current vs Washington Spirit"
26,25/10/2026 19:00,"October 25, 2026",7:00 PM,Sunday,October,2026-10-25,San Diego Wave FC,Boston Legacy FC,Snapdragon Stadium,home_venue,"October 25, 2026  7:00 PM  —  San Diego Wave FC vs Boston Legacy FC"
27,01/11/2026 17:00,"November 01, 2026",5:00 PM,Sunday,November,2026-11-01,Washington Spirit,Chicago Stars FC,Audi Field,home_venue,"November 01, 2026  5:00 PM  —  Washington Spirit vs Chicago Stars FC"
27,01/11/2026 17:00,"November 01, 2026",5:00 PM,Sunday,November,2026-11-01,Seattle Reign FC,Orlando Pride,Lumen Field,home_venue,"November 01, 2026  5:00 PM  —  Seattle Reign FC vs Orlando Pride"
27,01/11/2026 17:00,"November 01, 2026",5:00 PM,Sunday,November,2026-11-01,North Carolina Courage,Denver Summit FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"November 01, 2026  5:00 PM  —  North Carolina Courage vs Denver Summit FC"
27,01/11/2026 17:00,"November 01, 2026",5:00 PM,Sunday,November,2026-11-01,Racing Louisville FC,Kansas City Current,Lynn Family Stadium,home_venue,"November 01, 2026  5:00 PM  —  Racing Louisville FC vs Kansas City Current"
27,01/11/2026 17:00,"November 01, 2026",5:00 PM,Sunday,November,2026-11-01,Angel City FC,Boston Legacy FC,TBA,tba,"November 01, 2026  5:00 PM  —  Angel City FC vs Boston Legacy FC"
27,01/11/2026 17:00,"November 01, 2026",5:00 PM,Sunday,November,2026-11-01,Houston Dash,Portland Thorns FC,Shell Energy Stadium,home_venue,"November 01, 2026  5:00 PM  —  Houston Dash vs Portland Thorns FC"
27,01/11/2026 17:00,"November 01, 2026",5:00 PM,Sunday,November,2026-11-01,NJ/NY Gotham FC,Utah Royals FC,Red Bull Arena,home_venue,"November 01, 2026  5:00 PM  —  NJ/NY Gotham FC vs Utah Royals FC"
27,01/11/2026 17:00,"November 01, 2026",5:00 PM,Sunday,November,2026-11-01,Bay FC,San Diego Wave FC,PayPal Park,home_venue,"November 01, 2026  5:00 PM  —  Bay FC vs San Diego Wave FC"
