matchday,date,date_display,time_et,day_of_week,month,date_sort,home_team,away_team,stadium,venue_type,game_label
3,28/03/2026 20:45,"March 28, 2026",8:45 PM,Saturday,March,2026-03-28,San Diego Wave FC,Chicago Stars FC,Snapdragon Stadium,home_venue,"March 28, 2026  8:45 PM  —  San Diego Wave FC vs Chicago Stars FC"
3,29/03/2026 19:00,"March 29, 2026",7:00 PM,Sunday,March,2026-03-29,NJ/NY Gotham FC,Orlando Pride,Red Bull Arena,home_venue,"March 29, 2026  7:00 PM  —  NJ/NY Gotham FC vs Orlando Pride"
4,03/04/2026 19:00,"April 03, 2026",7:00 PM,Friday,April,2026-04-03,Boston Legacy FC,San Diego Wave FC,Gillette Stadium,home_venue,"April 03, 2026  7:00 PM  —  Boston Legacy FC vs San Diego Wave FC"
4,03/04/2026 20:00,"April 03, 2026",8:00 PM,Friday,April,2026-04-03,Orlando Pride,Angel City FC,INTER&Co Stadium,home_venue,"April 03, 2026  8:00 PM  —  Orlando Pride vs Angel City FC"
4,03/04/2026 20:30,"April 03, 2026",8:30 PM,Friday,April,2026-04-03,Houston Dash,Racing Louisville FC,Shell Energy Stadium,home_venue,"April 03, 2026  8:30 PM  —  Houston Dash vs Racing Louisville FC"
4,03/04/2026 21:00,"April 03, 2026",9:00 PM,Friday,April,2026-04-03,Utah Royals FC,Chicago Stars FC,America First Field,home_venue,"April 03, 2026  9:00 PM  —  Utah Royals FC vs Chicago Stars FC"
4,04/04/2026 16:00,"April 04, 2026",4:00 PM,Saturday,April,2026-04-04,Kansas City Current,NJ/NY Gotham FC,CPKC Stadium,home_venue,"April 04, 2026  4:00 PM  —  Kansas City Current vs NJ/NY Gotham FC"
4,04/04/2026 18:30,"April 04, 2026",6:30 PM,Saturday,April,2026-04-04,North Carolina Courage,Portland Thorns FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"April 04, 2026  6:30 PM  —  North Carolina Courage vs Portland Thorns FC"
4,04/04/2026 20:45,"April 04, 2026",8:45 PM,Saturday,April,2026-04-04,Seattle Reign FC,Denver Summit FC,One Spokane Stadium,fifa_displaced,"April 04, 2026  8:45 PM  —  Seattle Reign FC vs Denver Summit FC"
4,05/04/2026 17:00,"April 05, 2026",5:00 PM,Sunday,April,2026-04-05,Bay FC,Washington Spirit,PayPal Park,home_venue,"April 05, 2026  5:00 PM  —  Bay FC vs Washington Spirit"
5,24/04/2026 17:30,"April 24, 2026",5:30 PM,Friday,April,2026-04-24,Racing Louisville FC,Orlando Pride,Lynn Family Stadium,home_venue,"April 24, 2026  5:30 PM  —  Racing Louisville FC vs Orlando Pride"
5,24/04/2026 20:00,"April 24, 2026",8:00 PM,Friday,April,2026-04-24,Washington Spirit,Kansas City Current,Audi Field,home_venue,"April 24, 2026  8:00 PM  —  Washington Spirit vs Kansas City Current"
5,25/04/2026 13:00,"April 25, 2026",1:00 PM,Saturday,April,2026-04-25,NJ/NY Gotham FC,Bay FC,Red Bull Arena,home_venue,"April 25, 2026  1:00 PM  —  NJ/NY Gotham FC vs Bay FC"
5,25/04/2026 18:30,"April 25, 2026",6:30 PM,Saturday,April,2026-04-25,Chicago Stars FC,Boston Legacy FC,Northwestern Martin Stadium (temporary),home_venue,"April 25, 2026  6:30 PM  —  Chicago Stars FC vs Boston Legacy FC"
5,25/04/2026 20:00,"April 25, 2026",8:00 PM,Saturday,April,2026-04-25,Houston Dash,North Carolina Courage,Shell Energy Stadium,home_venue,"April 25, 2026  8:00 PM  —  Houston Dash vs North Carolina Courage"
5,25/04/2026 20:45,"April 25, 2026",8:45 PM,Saturday,April,2026-04-25,Denver Summit FC,San Diego Wave FC,Dick's Sporting Goods Park,fifa_displaced,"April 25, 2026  8:45 PM  —  Denver Summit FC vs San Diego Wave FC"
5,26/04/2026 18:00,"April 26, 2026",6:00 PM,Sunday,April,2026-04-26,Angel City FC,Portland Thorns FC,BMO Stadium,home_venue,"April 26, 2026  6:00 PM  —  Angel City FC vs Portland Thorns FC"
5,26/04/2026 20:00,"April 26, 2026",8:00 PM,Sunday,April,2026-04-26,Seattle Reign FC,Utah Royals FC,Lumen Field,home_venue,"April 26, 2026  8:00 PM  —  Seattle Reign FC vs Utah Royals FC"
6,29/04/2026 19:00,"April 29, 2026",7:00 PM,Wednesday,April,2026-04-29,Washington Spirit,Racing Louisville FC,Audi Field,home_venue,"April 29, 2026  7:00 PM  —  Washington Spirit vs Racing Louisville FC"
6,29/04/2026 19:00,"April 29, 2026",7:00 PM,Wednesday,April,2026-04-29,Boston Legacy FC,North Carolina Courage,Gillette Stadium,home_venue,"April 29, 2026  7:00 PM  —  Boston Legacy FC vs North Carolina Courage"
6,29/04/2026 20:00,"April 29, 2026",8:00 PM,Wednesday,April,2026-04-29,Chicago Stars FC,NJ/NY Gotham FC,Northwestern Martin Stadium (temporary),home_venue,"April 29, 2026  8:00 PM  —  Chicago Stars FC vs NJ/NY Gotham FC"
6,29/04/2026 22:00,"April 29, 2026",10:00 PM,Wednesday,April,2026-04-29,Portland Thorns FC,San Diego Wave FC,Providence Park,home_venue,"April 29, 2026  10:00 PM  —  Portland Thorns FC vs San Diego Wave FC"
6,01/05/2026 20:00,"May 01, 2026",8:00 PM,Friday,May,2026-05-01,Houston Dash,Seattle Reign FC,Shell Energy Stadium,home_venue,"May 01, 2026  8:00 PM  —  Houston Dash vs Seattle Reign FC"
6,02/05/2026 16:00,"May 02, 2026",4:00 PM,Saturday,May,2026-05-02,Orlando Pride,Washington Spirit,INTER&Co Stadium,home_venue,"May 02, 2026  4:00 PM  —  Orlando Pride vs Washington Spirit"
6,02/05/2026 18:30,"May 02, 2026",6:30 PM,Saturday,May,2026-05-02,North Carolina Courage,Kansas City Current,First Horizon Stadium at WakeMed Soccer Park,home_venue,"May 02, 2026  6:30 PM  —  North Carolina Courage vs Kansas City Current"
